"caption","id","data_type","termlist_id","term","created_on"
"No. of sections","216","I","","","2016-12-23 15:20:54"
"Overall Length (m)","217","I","","","2016-12-23 15:23:42"
"Transect Width (m)","218","L","92","10","2016-12-23 15:27:52"
"Transect Width (m)","218","L","92","5","2016-12-23 15:27:52"
"Transect Width (m)","218","L","92","6","2016-12-23 15:27:52"
"Transect Width (m)","218","L","92","Other","2016-12-23 15:27:52"
"Sensitive","219","B","","","2016-12-23 15:30:12"
"Section Length (m)","220","I","","","2016-12-23 15:32:25"
"Principal Habitat","221","L","838","Agricultural","2016-12-23 16:07:58"
"Principal Habitat","221","L","838","Barren","2016-12-23 16:07:58"
"Principal Habitat","221","L","838","Chaparral","2016-12-23 16:07:58"
"Principal Habitat","221","L","838","Desert","2016-12-23 16:07:58"
"Principal Habitat","221","L","838","Ecotones (e.g. forest-grassland edge, hedgerow/ditches in agricultural areas)","2016-12-23 16:07:58"
"Principal Habitat","221","L","838","Forest","2016-12-23 16:07:58"
"Principal Habitat","221","L","838","Gardens and parks (urban)","2016-12-23 16:07:58"
"Principal Habitat","221","L","838","Grassland","2016-12-23 16:07:58"
"Principal Habitat","221","L","838","Heathland","2016-12-23 16:07:58"
"Principal Habitat","221","L","838","Other (e.g. coastal, rock/scree, mangrove etc.)","2016-12-23 16:07:58"
"Principal Habitat","221","L","838","Residential area","2016-12-23 16:07:58"
"Principal Habitat","221","L","838","Shrub forest","2016-12-23 16:07:58"
"Principal Habitat","221","L","838","Wetlands (including ponds, lakes, fens, swamps etc)","2016-12-23 16:07:58"
"2nd Habitat","222","L","838","Agricultural","2016-12-23 16:09:27"
"2nd Habitat","222","L","838","Barren","2016-12-23 16:09:27"
"2nd Habitat","222","L","838","Chaparral","2016-12-23 16:09:27"
"2nd Habitat","222","L","838","Desert","2016-12-23 16:09:27"
"2nd Habitat","222","L","838","Ecotones (e.g. forest-grassland edge, hedgerow/ditches in agricultural areas)","2016-12-23 16:09:27"
"2nd Habitat","222","L","838","Forest","2016-12-23 16:09:27"
"2nd Habitat","222","L","838","Gardens and parks (urban)","2016-12-23 16:09:27"
"2nd Habitat","222","L","838","Grassland","2016-12-23 16:09:27"
"2nd Habitat","222","L","838","Heathland","2016-12-23 16:09:27"
"2nd Habitat","222","L","838","Other (e.g. coastal, rock/scree, mangrove etc.)","2016-12-23 16:09:27"
"2nd Habitat","222","L","838","Residential area","2016-12-23 16:09:27"
"2nd Habitat","222","L","838","Shrub forest","2016-12-23 16:09:27"
"2nd Habitat","222","L","838","Wetlands (including ponds, lakes, fens, swamps etc)","2016-12-23 16:09:27"
"Principal Land Tenure","223","L","840","Farming","2016-12-23 16:14:41"
"Principal Land Tenure","223","L","840","Forestry","2016-12-23 16:14:41"
"Principal Land Tenure","223","L","840","Military","2016-12-23 16:14:41"
"Principal Land Tenure","223","L","840","Nature Conservation","2016-12-23 16:14:41"
"Principal Land Tenure","223","L","840","Private Company","2016-12-23 16:14:41"
"Principal Land Tenure","223","L","840","Private Person","2016-12-23 16:14:41"
"Principal Land Tenure","223","L","840","Public","2016-12-23 16:14:41"
"Principal Land Tenure","223","L","840","Unknown","2016-12-23 16:14:41"
"2nd Land Tenure","224","L","840","Farming","2016-12-23 16:15:55"
"2nd Land Tenure","224","L","840","Forestry","2016-12-23 16:15:55"
"2nd Land Tenure","224","L","840","Military","2016-12-23 16:15:55"
"2nd Land Tenure","224","L","840","Nature Conservation","2016-12-23 16:15:55"
"2nd Land Tenure","224","L","840","Private Company","2016-12-23 16:15:55"
"2nd Land Tenure","224","L","840","Private Person","2016-12-23 16:15:55"
"2nd Land Tenure","224","L","840","Public","2016-12-23 16:15:55"
"2nd Land Tenure","224","L","840","Unknown","2016-12-23 16:15:55"
"Principal Land Management","225","L","836","Burning","2016-12-23 22:08:47"
"Principal Land Management","225","L","836","Coppicing","2016-12-23 22:08:47"
"Principal Land Management","225","L","836","Extraction (e.g. sod/peat cutting, aggregate extraction, topsoil stripping etc.)","2016-12-23 22:08:47"
"Principal Land Management","225","L","836","Farming","2016-12-23 22:08:47"
"Principal Land Management","225","L","836","Forestry","2016-12-23 22:08:47"
"Principal Land Management","225","L","836","Grazing","2016-12-23 22:08:47"
"Principal Land Management","225","L","836","Herbicide spraying","2016-12-23 22:08:47"
"Principal Land Management","225","L","836","Land drainage","2016-12-23 22:08:47"
"Principal Land Management","225","L","836","Mowing","2016-12-23 22:08:47"
"Principal Land Management","225","L","836","Mowing (or other vegetation clearance, e.g. herbicide spraying, burning etc.)","2016-12-23 22:08:47"
"Principal Land Management","225","L","836","No-management","2016-12-23 22:08:47"
"Principal Land Management","225","L","836","Other","2016-12-23 22:08:47"
"Principal Land Management","225","L","836","Pest management (e.g. insecticide spraying)","2016-12-23 22:08:47"
"Principal Land Management","225","L","836","Turf cutting","2016-12-23 22:08:47"
"2nd Land Management","226","L","836","Burning","2016-12-23 22:10:19"
"2nd Land Management","226","L","836","Coppicing","2016-12-23 22:10:19"
"2nd Land Management","226","L","836","Extraction (e.g. sod/peat cutting, aggregate extraction, topsoil stripping etc.)","2016-12-23 22:10:19"
"2nd Land Management","226","L","836","Farming","2016-12-23 22:10:19"
"2nd Land Management","226","L","836","Forestry","2016-12-23 22:10:19"
"2nd Land Management","226","L","836","Grazing","2016-12-23 22:10:19"
"2nd Land Management","226","L","836","Herbicide spraying","2016-12-23 22:10:19"
"2nd Land Management","226","L","836","Land drainage","2016-12-23 22:10:19"
"2nd Land Management","226","L","836","Mowing","2016-12-23 22:10:19"
"2nd Land Management","226","L","836","Mowing (or other vegetation clearance, e.g. herbicide spraying, burning etc.)","2016-12-23 22:10:19"
"2nd Land Management","226","L","836","No-management","2016-12-23 22:10:19"
"2nd Land Management","226","L","836","Other","2016-12-23 22:10:19"
"2nd Land Management","226","L","836","Pest management (e.g. insecticide spraying)","2016-12-23 22:10:19"
"2nd Land Management","226","L","836","Turf cutting","2016-12-23 22:10:19"
"Notes on habitat, land management and tenure","227","T","","","2016-12-23 22:11:22"
"Primary Habitat Present","228","L","838","Agricultural","2016-12-23 22:15:58"
"Primary Habitat Present","228","L","838","Barren","2016-12-23 22:15:58"
"Primary Habitat Present","228","L","838","Chaparral","2016-12-23 22:15:58"
"Primary Habitat Present","228","L","838","Desert","2016-12-23 22:15:58"
"Primary Habitat Present","228","L","838","Ecotones (e.g. forest-grassland edge, hedgerow/ditches in agricultural areas)","2016-12-23 22:15:58"
