"caption","id","data_type","termlist_id","term","created_on"
"Recorder Name","1384","T","","","2016-11-30 13:42:42"
"Start Time","1385","T","","","2016-11-30 13:42:42"
"End Time","1386","T","","","2016-11-30 13:42:42"
"% Sun","1387","I","","","2016-11-30 13:42:42"
"Temp (Deg C)","1388","L","834","10","2016-11-30 13:42:43"
"Temp (Deg C)","1388","L","834","11","2016-11-30 13:42:43"
"Temp (Deg C)","1388","L","834","12","2016-11-30 13:42:43"
"Temp (Deg C)","1388","L","834","13","2016-11-30 13:42:43"
"Temp (Deg C)","1388","L","834","14","2016-11-30 13:42:43"
"Temp (Deg C)","1388","L","834","15","2016-11-30 13:42:43"
"Temp (Deg C)","1388","L","834","16","2016-11-30 13:42:43"
"Temp (Deg C)","1388","L","834","17","2016-11-30 13:42:43"
"Temp (Deg C)","1388","L","834","18","2016-11-30 13:42:43"
"Temp (Deg C)","1388","L","834","19","2016-11-30 13:42:43"
"Temp (Deg C)","1388","L","834","20","2016-11-30 13:42:43"
"Temp (Deg C)","1388","L","834","21","2016-11-30 13:42:43"
"Temp (Deg C)","1388","L","834","22","2016-11-30 13:42:43"
"Temp (Deg C)","1388","L","834","23","2016-11-30 13:42:43"
"Temp (Deg C)","1388","L","834","24","2016-11-30 13:42:43"
"Temp (Deg C)","1388","L","834","25","2016-11-30 13:42:43"
"Temp (Deg C)","1388","L","834","26","2016-11-30 13:42:43"
"Temp (Deg C)","1388","L","834","27","2016-11-30 13:42:43"
"Temp (Deg C)","1388","L","834","28","2016-11-30 13:42:43"
"Temp (Deg C)","1388","L","834","29","2016-11-30 13:42:43"
"Temp (Deg C)","1388","L","834","30","2016-11-30 13:42:43"
"Temp (Deg C)","1388","L","834","31","2016-11-30 13:42:43"
"Temp (Deg C)","1388","L","834","32","2016-11-30 13:42:43"
"Temp (Deg C)","1388","L","834","33","2016-11-30 13:42:43"
"Temp (Deg C)","1388","L","834","34","2016-11-30 13:42:43"
"Temp (Deg C)","1388","L","834","35","2016-11-30 13:42:43"
"Temp (Deg C)","1388","L","834","36","2016-11-30 13:42:43"
"Temp (Deg C)","1388","L","834","37","2016-11-30 13:42:43"
"Temp (Deg C)","1388","L","834","38","2016-11-30 13:42:43"
"Temp (Deg C)","1388","L","834","39","2016-11-30 13:42:43"
"Temp (Deg C)","1388","L","834","4","2016-11-30 13:42:43"
